Zodis                     | Kiekis
pumpkins                  | 2
purple                    | 2
purvis                    | 4
q                         | 9
queen                     | 504
queens                    | 76
quietus                   | 2
race                      | 2
races                     | 12
radio                     | 18
radiohead                 | 2
ragtime                   | 2
raise                     | 2
rami                      | 2
ran                       | 4
range                     | 3
ranked                    | 12
ranking                   | 2
rare                      | 2
rb                        | 2
reach                     | 2
reached                   | 15
reaching                  | 3
read                      | 2
readers                   | 3
real                      | 4
realised                  | 2
really                    | 8
recalled                  | 2
received                  | 16
recognisable              | 2
record                    | 35
recorded                  | 17
recording                 | 23
recordings                | 3
records                   | 23
recruited                 | 2
red                       | 4
references                | 2
referred                  | 2
refused                   | 3
regular                   | 2
reissued                  | 2
release                   | 23
released                  | 52
releases                  | 3
releasing                 | 3
remained                  | 4
remaining                 | 6
remastered                | 3
remixed                   | 2
replaced                  | 3
replacement               | 3
replacing                 | 2
report                    | 2
reprise                   | 2
request                   | 2
rereleased                | 4
response                  | 3
rest                      | 3
resulted                  | 2
resulting                 | 2
retrieved                 | 345
return                    | 4
returned                  | 4
reunite                   | 2
revealed                  | 6
review                    | 13
reviews                   | 6
revised                   | 2
rhapsody                  | 63
rhye                      | 2
rhythm                    | 5
riaa                      | 6
richard                   | 5
riffs                     | 2
right                     | 5
rights                    | 2
rio                       | 5
road                      | 2
roadie                    | 2
rob                       | 4
robbie                    | 5
robert                    | 6
rock                      | 166
rockabilly                | 2
rocks                     | 7
rockwalk                  | 3
rodgers                   | 31
roger                     | 23
role                      | 4
roll                      | 13
rolling                   | 38
romance                   | 2
roses                     | 3
rouge                     | 2
rough                     | 2
roy                       | 5
royal                     | 8
royalty                   | 3
run                       | 4
s                         | 28
sacha                     | 4
sad                       | 2
said                      | 13
sale                      | 2
sales                     | 12
same                      | 9
sample                    | 2
sang                      | 3
sarsfield                 | 2
saturday                  | 4
savage                    | 3
save                      | 7
saw                       | 8
say                       | 4
saying                    | 8
says                      | 3
scenes                    | 4
scheduled                 | 4
schuster                  | 3
screen                    | 3
sean                      | 2
search                    | 3
searched                  | 2
seas                      | 2
season                    | 6
second                    | 17
secondgreatest            | 2
seconds                   | 2
section                   | 4
see                       | 11
seeing                    | 2
seemed                    | 4
seen                      | 3
segment                   | 3
select                    | 2
sell                      | 4
selling                   | 2
september                 | 120
sequel                    | 2
series                    | 6
served                    | 2
sessions                  | 3
set                       | 13
sets                      | 2
seven                     | 11
several                   | 14
sex                       | 2
shaping                   | 2
sheer                     | 10
shooting                  | 4
shortly                   | 2
shot                      | 5
should                    | 4
show                      | 40
shows                     | 26
side                      | 2
sides                     | 2
signature                 | 2
signed                    | 6
significant               | 3
signs                     | 3
silver                    | 2
similar                   | 4
simon                     | 4
simple                    | 2
simpsons                  | 4
since                     | 14
sing                      | 5
singalong                 | 2
singer                    | 14
singers                   | 7
singing                   | 7
single                    | 40
singles                   | 11
singstar                  | 3
sister                    | 2
site                      | 2
six                       | 6
sixpence                  | 2
sixth                     | 2
skull                     | 2
sleeves                   | 2
smashed                   | 2
smashing                  | 2
smile                     | 7
smith                     | 6
so                        | 10
soap                      | 2
soft                      | 2
sold                      | 13
soldout                   | 8
solo                      | 9
some                      | 19
somebody                  | 6
song                      | 68
songs                     | 39
songwriters               | 4
songwriting               | 3
sonisphere                | 5
sony                      | 3
soon                      | 2
soul                      | 2
sound                     | 18
sounds                    | 2
soundtrack                | 14
source                    | 2
south                     | 16
space                     | 14
spanning                  | 3
speaking                  | 2
special                   | 9
spent                     | 10
spike                     | 6
